month,price,change
13-11-2023,745.97,-0.01
13-12-2023,742.23,-0.04
14-01-2023,712.84,-0.02
14-02-2023,695.85,-0.06
14-03-2023,656.96,0
14-04-2023,656.69,-0.01
14-05-2023,650.9,-0.02
14-06-2023,640.82,0.01
14-07-2023,647.58,0.01
14-08-2023,651.43,-0.01
14-09-2023,643.23,0
14-10-2023,640.48,0
14-11-2023,642.66,-0.01
14-12-2023,635.84,-0.06
15-01-2023,600.87,-0.02
15-02-2023,587.35,-0.01
15-03-2023,580.44,0.07
15-04-2023,623.6,0.14
15-05-2023,711.22,0.03
15-06-2023,733.2,-0.11
15-07-2023,650.57,0.02
15-08-2023,665.48,-0.04
15-09-2023,640.13,-0.03
15-10-2023,622.16,0.06
15-11-2023,662.12,0.03
15-12-2023,683.18,0
16-01-2023,681.92,0.02
16-02-2023,694.32,0
16-03-2023,694.61,0.04
16-04-2023,723.14,0.01
16-05-2023,733.55,0
16-06-2023,736.2,0.04
16-07-2023,765.02,0
16-08-2023,764.75,0
16-09-2023,765.8,0.03
16-10-2023,792.35,0.01
16-11-2023,803.09,0.02
16-12-2023,819,0.09
17-01-2023,889.23,0.03
17-02-2023,916.25,0.05
17-03-2023,958.96,-0.06
17-04-2023,903.79,0.02
17-05-2023,923.42,-0.02
17-06-2023,904.57,0
17-07-2023,906.26,0.04
17-08-2023,940.68,-0.02
17-09-2023,921.61,0.03
17-10-2023,952.63,0.03
17-11-2023,984.7,0.02
17-12-2023,"1,001.55",0.08
18-01-2023,"1,078.16",0.01
18-02-2023,"1,083.97",-0.04
18-03-2023,"1,045.49",0
18-04-2023,"1,050.05",0.06
18-05-2023,"1,113.72",0.06
18-06-2023,"1,179.37",-0.02
18-07-2023,"1,160.42",0.04
18-08-2023,"1,210.00",0.04
18-09-2023,"1,263.17",-0.04
18-10-2023,"1,216.42",-0.08
18-11-2023,"1,124.02",0.01
18-12-2023,"1,135.31",0.03
19-01-2023,"1,164.33",0.03
19-02-2023,"1,203.23",-0.04
19-03-2023,"1,153.67",-0.02
19-04-2023,"1,136.30",-0.04
19-05-2023,"1,088.45",-0.06
19-06-2023,"1,021.70",-0.04
19-07-2023,975.9,-0.11
19-08-2023,871.73,-0.04
19-09-2023,840.05,0.03
19-10-2023,864.82,0.01
19-11-2023,872.01,-0.01
19-12-2023,859.8,0.04
20-01-2023,895.29,-0.02
20-02-2023,874.69,-0.09
20-03-2023,792.29,-0.1
20-04-2023,714.14,-0.05
20-05-2023,680.55,0.02
20-06-2023,693.56,-0.03
20-07-2023,672.14,-0.11
20-08-2023,598.32,-0.11
20-09-2023,533.62,0.29
20-10-2023,685.9,0.09
20-11-2023,750.47,0.03
20-12-2023,771.62,0.05
21-01-2023,806.93,0.11
21-02-2023,891.62,0
21-03-2023,889.38,0.02
21-04-2023,911.08,0.01
21-05-2023,922.42,0.07
21-06-2023,984.37,-0.01
21-07-2023,975.53,-0.07
21-08-2023,903.93,-0.01
21-09-2023,893.14,0.03
21-10-2023,919.07,-0.03
21-11-2023,890.94,0.01
21-12-2023,903.62,0.01
22-01-2023,911.32,0.02
22-02-2023,926.63,0.02
22-03-2023,946.77,0
22-04-2023,946.25,0
22-05-2023,946.46,0.03
22-06-2023,978.41,-0.06
22-07-2023,920.96,-0.03
22-08-2023,894.83,-0.04
22-09-2023,856.58,-0.03
22-10-2023,827.3,0.01
22-11-2023,834.94,0.05
22-12-2023,873.95,0.08
23-01-2023,945.41,0.04
23-02-2023,984.99,-0.06
23-03-2023,926.4,-0.04
23-04-2023,891.19,-0.03
23-05-2023,864.59,-0.07
23-06-2023,807.66,0.01
23-07-2023,815.09,-0.05
23-08-2023,772.06,-0.02
23-09-2023,753.81,-0.01
23-10-2023,744.19,0.04
23-11-2023,775.54,0.07
